2014-04-09,173
2014-04-16,16
2014-04-23,223
2014-04-30,195
2014-05-07,44
2014-05-14,238
2014-05-21,295
2014-05-29,31
2014-06-04,198
2014-06-11,32
2014-06-18,70
2014-06-25,351
2014-07-02,47
2014-07-09,235
2014-07-16,89
2014-07-23,32
2014-07-30,407
2014-08-06,28
2014-08-13,28
2014-08-20,107
2014-08-27,75
2014-09-04,391
2014-09-10,9
2014-09-17,111
2014-09-24,325
2014-10-01,36
2014-10-08,33
2014-10-16,512
2014-10-22,260
2014-10-29,52
2014-11-05,369
2014-11-13,294
2014-11-19,308
2014-11-26,358
2014-12-03,319
2014-12-10,96
2014-12-17,963
2014-12-24,349
2014-12-31,490
2015-01-07,71
2015-01-14,259
2015-01-22,67
2015-01-28,73
2015-02-04,204
2015-02-11,569
2015-02-19,221
2015-02-25,613
2015-03-04,51
2015-03-11,165
2015-03-18,346
2015-03-25,207
2015-04-01,13
2015-04-08,22
2015-04-15,300
2015-04-22,46
2015-04-29,27
2015-05-06,711
2015-05-13,555
2015-05-20,327
2015-05-28,147
2015-06-03,461
2015-06-10,385
2015-06-17,2
2015-06-24,208
2015-07-01,121
2015-07-08,0
2015-07-15,344
2015-07-22,152
2015-07-29,0
2015-08-05,507
2015-08-12,213
2015-08-19,6
2015-08-26,475
2015-09-02,57
2015-09-10,535
2015-09-16,887
2015-09-23,98
2015-09-30,417
2015-10-07,46
2015-10-15,64
2015-10-21,455
2015-10-28,68
2015-11-04,135
2015-11-12,408
2015-11-18,210
